competition,gender, game, rank, name, nation,,
archery,M, Men's events,1972 Munich,1, (John Williams), United States,
archery,M, Men's events,1972 Munich,2, (Gunnar Jervill), Sweden,
archery,M, Men's events,1972 Munich,3, (Kyösti Laasonen), Finland,
archery,M, Men's events,1976 Montreal,1, (Darrell Pace), United States,
archery,M, Men's events,1976 Montreal,2, (Hiroshi Michinaga), Japan,
archery,M, Men's events,1976 Montreal,3, (Giancarlo Ferrari), Italy,
archery,M, Men's events,1980 Moscow,1, (Tomi Poikolainen), Finland,
archery,M, Men's events,1980 Moscow,2, (Boris Isachenko), Soviet Union,
archery,M, Men's events,1980 Moscow,3, (Giancarlo Ferrari), Italy,
archery,M, Men's events,1984 Los Angeles,1, (Darrell Pace), United States,
archery,M, Men's events,1984 Los Angeles,2, (Richard McKinney), United States,
archery,M, Men's events,1984 Los Angeles,3, (Hiroshi Yamamoto), Japan,
archery,M, Men's events,1988 Seoul,1, (Jay Barrs), United States,
archery,M, Men's events,1988 Seoul,2, (Park Sung-Soo), South Korea,
archery,M, Men's events,1988 Seoul,3, (Vladimir Yesheyev), Soviet Union,
archery,M, Men's events,1992 Barcelona,1, (Sébastien Flute), France,
archery,M, Men's events,1992 Barcelona,2, (Chung Jae-Hun), South Korea,
archery,M, Men's events,1992 Barcelona,3, (Simon Terry), Great Britain,
archery,M, Men's events,1996 Atlanta,1, (Justin Huish), United States,
archery,M, Men's events,1996 Atlanta,2, (Magnus Petersson), Sweden,
archery,M, Men's events,1996 Atlanta,3, (Oh Kyo-Moon), South Korea,
archery,M, Men's events,2000 Sydney,1, (Simon Fairweather), Australia,
archery,M, Men's events,2000 Sydney,2, (Vic Wunderle), United States,
archery,M, Men's events,2000 Sydney,3, (Wietse van Alten), Netherlands,
archery,M, Men's events,2004 Athens,1, (Marco Galiazzo), Italy,
archery,M, Men's events,2004 Athens,2, (Hiroshi Yamamoto), Japan,
archery,M, Men's events,2004 Athens,3, (Tim Cuddihy), Australia,
archery,M, Men's events,2008 Beijing,1, (Viktor Ruban), Ukraine,
archery,M, Men's events,2008 Beijing,2, (Park Kyung-Mo), South Korea,
archery,M, Men's events,2008 Beijing,3, (Bair Badënov), Russia,
archery,M, Men's events,2012 London,1, (Oh Jin-Hyek), South Korea,
archery,M, Men's events,2012 London,2, (Takaharu Furukawa), Japan,
archery,M, Men's events,2012 London,3, (Dai Xiaoxiang), China,
archery,M, Men's events,1988 Seoul,1, (), South Korea,
archery,M, Men's events,1988 Seoul,2, (), United States,
archery,M, Men's events,1988 Seoul,3, (), Great Britain,
archery,M, Men's events,1992 Barcelona,1, (), Spain ,
archery,M, Men's events,1992 Barcelona,2, (), Finland ,
archery,M, Men's events,1992 Barcelona,3, (), Great Britain,
archery,M, Men's events,1996 Atlanta,1, (), United States,
archery,M, Men's events,1996 Atlanta,2, (), South Korea,
archery,M, Men's events,1996 Atlanta,3, (), Italy,
archery,M, Men's events,2000 Sydney,1, (), South Korea,
archery,M, Men's events,2000 Sydney,2, (), Italy,
archery,M, Men's events,2000 Sydney,3, (), United States,
archery,M, Men's events,2004 Athens,1, (), South Korea,
archery,M, Men's events,2004 Athens,2, (), Chinese Taipei,
archery,M, Men's events,2004 Athens,3, (), Ukraine,
archery,M, Men's events,2008 Beijing,1, (), South Korea,
archery,M, Men's events,2008 Beijing,2, (), Italy,
archery,M, Men's events,2008 Beijing,3, (), China,
archery,M, Men's events,2012 London,1, (), Italy,
archery,M, Men's events,2012 London,2, (), United States,
archery,M, Men's events,2012 London,3, (), South Korea,
archery,F, Women's events,1972 Munich,1, (Doreen Wilber), United States,
archery,F, Women's events,1972 Munich,2, (Irena Szydłowska), Poland,
archery,F, Women's events,1972 Munich,3, (Emma Gapchenko), Soviet Union,
archery,F, Women's events,1976 Montreal,1, (Luann Ryon), United States,
archery,F, Women's events,1976 Montreal,2, (Valentyna Kovpan), Soviet Union,
archery,F, Women's events,1976 Montreal,3, (Zebiniso Rustamova), Soviet Union,
archery,F, Women's events,1980 Moscow,1, (Keto Losaberidze), Soviet Union,
archery,F, Women's events,1980 Moscow,2, (Natalya Butuzova), Soviet Union,
archery,F, Women's events,1980 Moscow,3, (Päivi Meriluoto), Finland,
archery,F, Women's events,1984 Los Angeles,1, (Seo Hyang-Soon), South Korea,
archery,F, Women's events,1984 Los Angeles,2, (Li Lingjuan), China,
archery,F, Women's events,1984 Los Angeles,3, (Kim Jin-Ho), South Korea,
archery,F, Women's events,1988 Seoul,1, (Kim Soo-Nyung), South Korea,
archery,F, Women's events,1988 Seoul,2, (Wang Hee-Kyung), South Korea,
archery,F, Women's events,1988 Seoul,3, (Yun Young-Sook), South Korea,
archery,F, Women's events,1992 Barcelona,1, (Cho Youn-Jeong), South Korea,
archery,F, Women's events,1992 Barcelona,2, (Kim Soo-Nyung), South Korea,
archery,F, Women's events,1992 Barcelona,3, (Natalia Valeeva), Unified Team,
archery,F, Women's events,1996 Atlanta,1, (Kim Kyung-Wook), South Korea,
archery,F, Women's events,1996 Atlanta,2, (He Ying), China,
archery,F, Women's events,1996 Atlanta,3, (Olena Sadovnycha), Ukraine,
archery,F, Women's events,2000 Sydney,1, (Yun Mi-Jin), South Korea,
archery,F, Women's events,2000 Sydney,2, (Kim Nam-Soon), South Korea,
archery,F, Women's events,2000 Sydney,3, (Kim Soo-Nyung), South Korea,
archery,F, Women's events,2004 Athens,1, (Park Sung-Hyun), South Korea,
archery,F, Women's events,2004 Athens,2, (Lee Sung-Jin), South Korea,
archery,F, Women's events,2004 Athens,3, (Alison Williamson), Great Britain,
archery,F, Women's events,2008 Beijing,1, (Zhang Juanjuan), China,
archery,F, Women's events,2008 Beijing,2, (Park Sung-Hyun), South Korea,
archery,F, Women's events,2008 Beijing,3, (Yun Ok-Hee), South Korea,
archery,F, Women's events,2012 London,1, (Ki Bo-bae), South Korea,
archery,F, Women's events,2012 London,2, (Aída Román), Mexico,
archery,F, Women's events,2012 London,3, (Mariana Avitia), Mexico,
archery,F, Women's events,1988 Seoul,1, (), South Korea,
archery,F, Women's events,1988 Seoul,2, (), Indonesia,
archery,F, Women's events,1988 Seoul,3, (), United States,
archery,F, Women's events,1992 Barcelona,1, (), South Korea,
archery,F, Women's events,1992 Barcelona,2, (), China,
archery,F, Women's events,1992 Barcelona,3, (), Unified Team,
archery,F, Women's events,1996 Atlanta,1, (), South Korea,
archery,F, Women's events,1996 Atlanta,2, (), Germany,
archery,F, Women's events,1996 Atlanta,3, (), Poland,
archery,F, Women's events,2000 Sydney,1, (), South Korea,
archery,F, Women's events,2000 Sydney,2, (), Ukraine,
archery,F, Women's events,2000 Sydney,3, (), Germany,
archery,F, Women's events,2004 Athens,1, (), South Korea,
archery,F, Women's events,2004 Athens,2, (), China,
archery,F, Women's events,2004 Athens,3, (), Chinese Taipei,
archery,F, Women's events,2008 Beijing,1, (), South Korea,
archery,F, Women's events,2008 Beijing,2, (), China,
archery,F, Women's events,2008 Beijing,3, (), France,
archery,F, Women's events,2012 London,1, (), South Korea,
archery,F, Women's events,2012 London,2, (), China,
archery,F, Women's events,2012 London,3, (), Japan,
athletics,M,100 metres,1896 Athens,1, Thomas Burke, USA,
athletics,M,100 metres,1896 Athens,2, Fritz Hofmann, GER,
athletics,M,100 metres,1896 Athens,3, Francis Lane, USA,
athletics,M,100 metres,1900 Paris,1, Frank Jarvis, USA,
athletics,M,100 metres,1900 Paris,2, Walter Tewksbury, USA,
athletics,M,100 metres,1900 Paris,3, Stan Rowley, AUS,
athletics,M,100 metres,1904 St. Louis,1, Archie Hahn, USA,
athletics,M,100 metres,1904 St. Louis,2, Nate Cartmell, USA,
athletics,M,100 metres,1904 St. Louis,3, William Hogenson, USA,
athletics,M,100 metres,1908 London,1, Reggie Walker, RSA,
athletics,M,100 metres,1908 London,2, James Rector, USA,
athletics,M,100 metres,1908 London,3, Robert Kerr, CAN,
athletics,M,100 metres,1912 Stockholm,1, Ralph Craig, USA,
athletics,M,100 metres,1912 Stockholm,2, Alvah Meyer, USA,
athletics,M,100 metres,1912 Stockholm,3, Donald Lippincott, USA,
athletics,M,100 metres,1920 Antwerp,1, Charlie Paddock, USA,
athletics,M,100 metres,1920 Antwerp,2, Morris Kirksey, USA,
athletics,M,100 metres,1920 Antwerp,3, Harry Edward, GBR,
athletics,M,100 metres,1924 Paris,1, Harold Abrahams, GBR,
athletics,M,100 metres,1924 Paris,2, Jackson Scholz, USA,
athletics,M,100 metres,1924 Paris,3, Arthur Porritt, NZL,
athletics,M,100 metres,1928 Amsterdam,1, Percy Williams, CAN,
athletics,M,100 metres,1928 Amsterdam,2, Jack London, GBR,
athletics,M,100 metres,1928 Amsterdam,3, Georg Lammers, GER,
athletics,M,100 metres,1932 Los Angeles,1, Eddie Tolan, USA,
athletics,M,100 metres,1932 Los Angeles,2, Ralph Metcalfe, USA,
athletics,M,100 metres,1932 Los Angeles,3, Arthur Jonath, GER,
athletics,M,100 metres,1936 Berlin,1, Jesse Owens, USA,
athletics,M,100 metres,1936 Berlin,2, Ralph Metcalfe, USA,
athletics,M,100 metres,1936 Berlin,3, Tinus Osendarp, NED,
athletics,M,100 metres,1948 London,1, Harrison Dillard, USA,
athletics,M,100 metres,1948 London,2, Barney Ewell, USA,
athletics,M,100 metres,1948 London,3, Lloyd LaBeach, PAN,
athletics,M,100 metres,1952 Helsinki,1, Lindy Remigino, USA,
athletics,M,100 metres,1952 Helsinki,2, Herb McKenley, JAM,
athletics,M,100 metres,1952 Helsinki,3, McDonald Bailey, GBR,
athletics,M,100 metres,1956 Melbourne,1, Bobby Morrow, USA,
athletics,M,100 metres,1956 Melbourne,2, Thane Baker, USA,
athletics,M,100 metres,1956 Melbourne,3, Hector Hogan, AUS,
athletics,M,100 metres,1960 Rome,1, Armin Hary, EUA,
athletics,M,100 metres,1960 Rome,2, Dave Sime, USA,
athletics,M,100 metres,1960 Rome,3, Peter Radford, GBR,
athletics,M,100 metres,1964 Tokyo,1, Bob Hayes, USA,
athletics,M,100 metres,1964 Tokyo,2, Enrique Figuerola, CUB,
athletics,M,100 metres,1964 Tokyo,3, Harry Jerome, CAN,
athletics,M,100 metres,1968 Mexico City,1, Jim Hines, USA,
athletics,M,100 metres,1968 Mexico City,2, Lennox Miller, JAM,
athletics,M,100 metres,1968 Mexico City,3, Charles Greene, USA,
athletics,M,100 metres,1972 Munich,1, Valeriy Borzov, URS,
athletics,M,100 metres,1972 Munich,2, Robert Taylor, USA,
athletics,M,100 metres,1972 Munich,3, Lennox Miller, JAM,
athletics,M,100 metres,1976 Montreal,1, Hasely Crawford, TRI,
athletics,M,100 metres,1976 Montreal,2, Don Quarrie, JAM,
athletics,M,100 metres,1976 Montreal,3, Valeriy Borzov, URS,
athletics,M,100 metres,1980 Moscow,1, Allan Wells, GBR,
athletics,M,100 metres,1980 Moscow,2, Silvio Leonard, CUB,
athletics,M,100 metres,1980 Moscow,3, Petar Petrov, BUL,
athletics,M,100 metres,1984 Los Angeles,1, Carl Lewis, USA,
athletics,M,100 metres,1984 Los Angeles,2, Sam Graddy, USA,
athletics,M,100 metres,1984 Los Angeles,3, Ben Johnson, CAN,
athletics,M,100 metres,1988 Seoul,1, Carl Lewis, USA,
athletics,M,100 metres,1988 Seoul,2, Linford Christie, GBR,
athletics,M,100 metres,1988 Seoul,3, Calvin Smith, USA,
athletics,M,100 metres,1992 Barcelona,1, Linford Christie, GBR,
athletics,M,100 metres,1992 Barcelona,2, Frankie Fredericks, NAM,
athletics,M,100 metres,1992 Barcelona,3, Dennis Mitchell, USA,
athletics,M,100 metres,1996 Atlanta,1, Donovan Bailey, CAN,
athletics,M,100 metres,1996 Atlanta,2, Frankie Fredericks, NAM,
athletics,M,100 metres,1996 Atlanta,3, Ato Boldon, TRI,
athletics,M,100 metres,2000 Sydney,1, Maurice Greene, USA,
athletics,M,100 metres,2000 Sydney,2, Ato Boldon, TRI,
athletics,M,100 metres,2000 Sydney,3, Obadele Thompson, BAR,
athletics,M,100 metres,2004 Athens,1, Justin Gatlin, USA,
athletics,M,100 metres,2004 Athens,2, Francis Obikwelu, POR,
athletics,M,100 metres,2004 Athens,3, Maurice Greene, USA,
athletics,M,100 metres,2008 Beijing,1, Usain Bolt, JAM,
athletics,M,100 metres,2008 Beijing,2, Richard Thompson, TRI,
athletics,M,100 metres,2008 Beijing,3, Walter Dix, USA,
athletics,M,100 metres,2012 London,1, Usain Bolt, JAM,
athletics,M,100 metres,2012 London,2, Yohan Blake, JAM,
athletics,M,100 metres,2012 London,3, Justin Gatlin, USA,
athletics,M,200 metres,1900 Paris,1, Walter Tewksbury, USA,
athletics,M,200 metres,1900 Paris,2, Norman Pritchard, IND,
athletics,M,200 metres,1900 Paris,3, Stan Rowley, AUS,
athletics,M,200 metres,1904 St. Louis,1, Archie Hahn, USA,
athletics,M,200 metres,1904 St. Louis,2, Nate Cartmell, USA,
athletics,M,200 metres,1904 St. Louis,3, William Hogenson, USA,
athletics,M,200 metres,1908 London,1, Robert Kerr, CAN,
athletics,M,200 metres,1908 London,2, Robert Cloughen, USA,
athletics,M,200 metres,1908 London,3, Nate Cartmell, USA,
athletics,M,200 metres,1912 Stockholm,1, Ralph Craig, USA,
athletics,M,200 metres,1912 Stockholm,2, Donald Lippincott, USA,
athletics,M,200 metres,1912 Stockholm,3, Willie Applegarth, GBR,
athletics,M,200 metres,1920 Antwerp,1, Allen Woodring, USA,
athletics,M,200 metres,1920 Antwerp,2, Charlie Paddock, USA,
athletics,M,200 metres,1920 Antwerp,3, Harry Edward, GBR,
athletics,M,200 metres,1924 Paris,1, Jackson Scholz, USA,
athletics,M,200 metres,1924 Paris,2, Charlie Paddock, USA,
athletics,M,200 metres,1924 Paris,3, Eric Liddell, GBR,
athletics,M,200 metres,1928 Amsterdam,1, Percy Williams, CAN,
athletics,M,200 metres,1928 Amsterdam,2, Walter Rangeley, GBR,
athletics,M,200 metres,1928 Amsterdam,3, Helmut Körnig, GER,
athletics,M,200 metres,1932 Los Angeles,1, Eddie Tolan, USA,
athletics,M,200 metres,1932 Los Angeles,2, George Simpson, USA,
athletics,M,200 metres,1932 Los Angeles,3, Ralph Metcalfe, USA,
athletics,M,200 metres,1936 Berlin,1, Jesse Owens, USA,
athletics,M,200 metres,1936 Berlin,2, Mack Robinson, USA,
athletics,M,200 metres,1936 Berlin,3, Tinus Osendarp, NED,
athletics,M,200 metres,1948 London,1, Mel Patton, USA,
