,Romania,Argentina,Spain,United States,West Germany,Poland,Germany,Ireland,Sweden,Chile,Czechoslovakia,Hungary,Great Britain,Japan,Italy,Brazil,Portugal,Austria,Canada,Soviet Union,Saudi Arabia,Mexico,Netherlands,Denmark,Switzerland,France,Bulgaria,New Zealand,Norway,Belgium,Australia
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,1,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0
1920,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
1924,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,6,0,0,1,1,0,0,0,0,10,5,1,0
1928,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,9,0,2,3,0,0,0,0,3,4,1,0,0
1932,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,4,0,9,0
1936,0,0,1,0,0,0,0,0,0,1,2,20,1,1,0,0,0,0,2,0,0,2,1,2,0,0,0,1,0,2,0
1948,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,2,4,3,7,0
1952,0,0,0,0,0,0,0,4,0,2,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,0
1956,0,0,0,0,0,0,1,0,0,2,0,13,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
1960,0,8,0,0,0,0,0,0,0,0,1,4,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0
1964,2,0,0,0,0,0,0,0,0,0,5,12,1,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0
1968,0,1,0,0,0,0,3,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,3
1972,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,6,0,0,0,0,0,0,0,0,0,5,0,2,0,5,4
1976,0,1,0,2,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7
1980,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,0,1,0,17,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,13,3
1988,0,0,0,0,0,0,1,0,0,0,6,9,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,4
1992,0,6,2,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2,0
1996,0,3,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,2,6,0
2000,0,5,0,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,2,5,0
2004,0,0,0,0,3,0,0,0,0,0,3,7,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,9,0
2008,0,2,0,0,0,0,5,0,0,1,0,12,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,6,0
2012,0,0,0,0,0,0,0,0,0,0,0,9,12,0,1,0,0,0,7,1,0,0,0,0,1,0,0,2,3,0,0
