France, 1900, 6
Germany, 1904, 2
Switzerland, 1904, 1
United States, 1904, 9
France, 1908, 1
Great Britain, 1908, 2
Italy, 1908, 3
France, 1912, 2
Italy, 1912, 4
France, 1920, 3
Italy, 1920, 3
Czechoslovakia, 1924, 3
Yugoslavia, 1924, 3
Switzerland, 1928, 5
Yugoslavia, 1928, 1
Finland, 1932, 1
Hungary, 1932, 2
Italy, 1932, 3
Germany, 1936, 4
Switzerland, 1936, 2
Finland, 1948, 4
Switzerland, 1948, 2
Hungary, 1952, 3
Soviet Union, 1952, 12
Sweden, 1952, 4
Switzerland, 1952, 1
Hungary, 1956, 2
Japan, 1956, 2
Soviet Union, 1956, 8
Japan, 1960, 2
Soviet Union, 1960, 10
Czechoslovakia, 1964, 3
Japan, 1964, 3
Soviet Union, 1964, 5
Czechoslovakia, 1968, 3
Japan, 1968, 4
Soviet Union, 1968, 5
East Germany, 1972, 2
Japan, 1972, 6
Soviet Union, 1972, 4
Japan, 1976, 3
Romania, 1976, 3
Soviet Union, 1976, 6
Bulgaria, 1980, 1
Romania, 1980, 2
Soviet Union, 1980, 8
China, 1984, 1
Japan, 1984, 3
Romania, 1984, 3
United States, 1984, 5
Romania, 1988, 2
Soviet Union, 1988, 10
Romania, 1992, 1
Unified Team, 1992, 9
United States, 1992, 2
Belarus, 1996, 1
China, 1996, 3
Romania, 1996, 3
Russia, 1996, 2
Ukraine, 1996, 3
Australia, 2000, 2
Canada, 2000, 2
China, 2000, 3
Romania, 2000, 5
Russia, 2000, 9
Ukraine, 2000, 3
Canada, 2004, 2
China, 2004, 2
Germany, 2004, 4
Russia, 2004, 4
South Korea, 2004, 3
Ukraine, 2004, 3
United States, 2004, 6
Canada, 2008, 4
China, 2008, 11
France, 2008, 1
Japan, 2008, 2
United States, 2008, 5
Uzbekistan, 2008, 1
Canada, 2012, 3
China, 2012, 7
Germany, 2012, 2
Japan, 2012, 3
Russia, 2012, 5
United States, 2012, 4
