France, 1900, 10
Germany, 1900, 1
Great Britain, 1900, 1
United States, 1904, 24
Belgium, 1908, 2
Canada, 1908, 3
Germany, 1908, 2
Great Britain, 1908, 20
New Zealand, 1908, 1
United States, 1908, 3
Denmark, 1912, 1
Germany, 1912, 3
Great Britain, 1912, 2
France, 1920, 1
Italy, 1920, 2
Norway, 1920, 1
Switzerland, 1920, 3
United States, 1920, 5
Canada, 1924, 2
France, 1924, 6
Great Britain, 1924, 6
Netherlands, 1924, 3
Switzerland, 1924, 6
United States, 1924, 6
Australia, 1928, 3
Austria, 1928, 1
Canada, 1928, 2
Germany, 1928, 3
Great Britain, 1928, 6
Italy, 1928, 4
Poland, 1928, 1
Switzerland, 1928, 2
United States, 1928, 8
Australia, 1932, 3
Canada, 1932, 1
Germany, 1932, 7
Great Britain, 1932, 6
Italy, 1932, 3
New Zealand, 1932, 2
Poland, 1932, 2
United States, 1932, 5
Uruguay, 1932, 1
Argentina, 1936, 1
Austria, 1936, 2
Denmark, 1936, 2
France, 1936, 1
Germany, 1936, 14
Great Britain, 1936, 5
Poland, 1936, 1
Switzerland, 1936, 3
United States, 1936, 1
Australia, 1948, 3
Denmark, 1948, 5
Great Britain, 1948, 6
Italy, 1948, 5
Switzerland, 1948, 4
United States, 1948, 4
Uruguay, 1948, 3
Argentina, 1952, 3
Australia, 1952, 2
Belgium, 1952, 2
Czechoslovakia, 1952, 3
Finland, 1952, 1
France, 1952, 2
Poland, 1952, 1
Soviet Union, 1952, 5
Switzerland, 1952, 3
United States, 1952, 4
Uruguay, 1952, 1
Yugoslavia, 1952, 3
Australia, 1956, 3
Austria, 1956, 1
Canada, 1956, 3
Finland, 1956, 1
France, 1956, 1
Italy, 1956, 3
Soviet Union, 1956, 8
Sweden, 1956, 2
United States, 1956, 8
Austria, 1960, 2
Czechoslovakia, 1960, 3
Finland, 1960, 1
France, 1960, 2
Germany, 1960, 5
Italy, 1960, 3
Poland, 1960, 1
Soviet Union, 1960, 9
Switzerland, 1960, 1
United States, 1960, 3
Canada, 1964, 3
Czechoslovakia, 1964, 1
Denmark, 1964, 3
Germany, 1964, 6
Great Britain, 1964, 2
Italy, 1964, 2
Netherlands, 1964, 3
Soviet Union, 1964, 6
Switzerland, 1964, 1
United States, 1964, 3
Argentina, 1968, 1
Denmark, 1968, 1
East Germany, 1968, 8
Hungary, 1968, 2
Italy, 1968, 1
Netherlands, 1968, 5
New Zealand, 1968, 3
Soviet Union, 1968, 3
Switzerland, 1968, 1
United States, 1968, 3
West Germany, 1968, 2
Argentina, 1972, 2
Czechoslovakia, 1972, 1
East Germany, 1972, 10
Netherlands, 1972, 1
New Zealand, 1972, 2
Norway, 1972, 2
Soviet Union, 1972, 6
Switzerland, 1972, 2
West Germany, 1972, 4
Czechoslovakia, 1976, 1
East Germany, 1976, 13
Finland, 1976, 3
Germany, 1976, 1
Great Britain, 1976, 2
Norway, 1976, 5
Soviet Union, 1976, 6
United States, 1976, 2
West Germany, 1976, 3
Bulgaria, 1980, 1
Czechoslovakia, 1980, 1
East Germany, 1980, 16
Finland, 1980, 3
Great Britain, 1980, 2
Poland, 1980, 1
Soviet Union, 1980, 10
Yugoslavia, 1980, 2
Australia, 1984, 2
Belgium, 1984, 2
Canada, 1984, 2
Denmark, 1984, 1
Finland, 1984, 3
Great Britain, 1984, 3
New Zealand, 1984, 4
Norway, 1984, 1
Romania, 1984, 3
Spain, 1984, 2
United States, 1984, 7
West Germany, 1984, 5
Yugoslavia, 1984, 1
East Germany, 1988, 10
Great Britain, 1988, 3
Italy, 1988, 3
Netherlands, 1988, 3
New Zealand, 1988, 2
Norway, 1988, 2
Romania, 1988, 4
Soviet Union, 1988, 1
Switzerland, 1988, 2
United States, 1988, 2
West Germany, 1988, 3
Yugoslavia, 1988, 1
Australia, 1992, 6
Austria, 1992, 2
Czechoslovakia, 1992, 2
Germany, 1992, 10
Great Britain, 1992, 3
Italy, 1992, 1
Netherlands, 1992, 1
Norway, 1992, 2
Poland, 1992, 2
Romania, 1992, 3
Slovenia, 1992, 2
United States, 1992, 2
Australia, 1996, 6
Canada, 1996, 2
France, 1996, 4
Germany, 1996, 4
Great Britain, 1996, 4
Italy, 1996, 3
Norway, 1996, 2
Switzerland, 1996, 3
United States, 1996, 2
Australia, 2000, 2
France, 2000, 3
Germany, 2000, 2
Great Britain, 2000, 3
Italy, 2000, 6
Netherlands, 2000, 2
New Zealand, 2000, 3
Norway, 2000, 2
Slovenia, 2000, 3
Switzerland, 2000, 2
United States, 2000, 2
Australia, 2004, 3
Bulgaria, 2004, 1
Canada, 2004, 2
Croatia, 2004, 2
Czech Republic, 2004, 2
Estonia, 2004, 2
France, 2004, 3
Great Britain, 2004, 3
Italy, 2004, 2
Norway, 2004, 3
Russia, 2004, 3
Slovenia, 2004, 2
South Africa, 2004, 1
Ukraine, 2004, 1
Australia, 2008, 8
Canada, 2008, 2
Czech Republic, 2008, 2
Estonia, 2008, 2
France, 2008, 2
Great Britain, 2008, 4
Italy, 2008, 2
New Zealand, 2008, 2
Norway, 2008, 3
Poland, 2008, 3
Australia, 2012, 3
Croatia, 2012, 2
Czech Republic, 2012, 2
France, 2012, 2
Germany, 2012, 3
Great Britain, 2012, 5
Italy, 2012, 2
New Zealand, 2012, 9
Slovenia, 2012, 1
United States, 2012, 1
