,Japan,Great Britain,Lithuania,Austria,Brazil,Slovenia,Ukraine,Portugal,West Germany,United States,Argentina,Ireland,Cyprus,France,Netherlands Antilles,Australia,Czech Republic,Hong Kong,China,Greece,East Germany,Hungary,Estonia,Sweden,Mixed team,Bahamas,Italy,Spain,Cuba,Germany,Poland,Switzerland,Denmark,Belgium,Finland,Norway,Russia,New Zealand,Soviet Union,Virgin Islands,Israel,Canada,Netherlands
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,8,0,0,0,0,0
1920,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,16,0,0,26,0,0,0,0,0,0,14,0,0,0,0,0
1924,0,0,0,0,6,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0
1932,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,5,0,0,11,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,3,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0
1948,2,0,0,0,0,0,0,0,4,0,0,8,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,2,0,0,0,0,4,0,0,14,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,4,0,0,0,0,0,6,0,0,0,0,0,0,12,0,2,0,0,0,0,8,0,0,13,0,0
1956,0,4,0,2,4,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,8,0,0
1960,4,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,6,0,4,0,0,10,0,0,2,0,8,0,0
1964,0,6,0,6,0,0,0,0,0,0,0,8,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,14,0,0
1968,0,0,4,0,0,2,0,0,0,0,0,4,2,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,6,0,6,4,0,12,0,4
1972,0,12,0,0,0,0,2,0,0,0,0,0,4,0,0,10,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,10,0,4
1976,0,4,0,0,0,2,0,0,0,0,0,3,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,8,0,14
1980,0,0,8,0,0,12,0,0,0,0,0,10,4,0,8,0,0,0,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,12,6,2,0,0,0,0,0
1984,0,2,0,0,0,4,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,6,0,14,0,0,0,0,0,0,6,0,0,0,34,0,4
1988,0,0,0,0,0,4,2,0,0,0,0,8,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,4,12,4,0,0,0,0,6,12,4,0,0,18,4,0
1992,0,4,0,0,0,0,2,4,0,0,0,8,0,2,0,12,0,2,0,0,0,0,0,0,0,0,0,2,0,16,6,0,0,0,0,0,28,0,0,0,34,0,0
1996,4,6,0,0,4,11,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,0,2,2,4,0,0,6,0,4,1,6,2,4,0,0,12,4,0,8,4,0,0
2000,8,17,12,0,0,4,0,0,0,0,0,6,0,0,6,0,10,23,0,0,0,0,0,10,0,0,0,4,0,4,2,0,0,0,0,0,0,2,0,2,16,0,0
2004,2,0,8,0,0,9,4,4,0,0,4,4,0,0,0,8,0,20,10,0,0,0,6,2,2,0,0,0,0,0,6,2,0,0,1,0,14,2,0,8,10,0,0
2008,2,16,0,0,0,6,0,8,0,0,0,6,0,0,0,8,2,30,2,0,0,0,2,6,0,4,0,8,0,6,0,0,0,0,4,0,10,2,0,0,10,0,0
2012,2,22,0,0,2,2,0,6,0,4,0,6,0,0,6,2,0,22,0,0,0,0,0,0,0,0,0,12,0,10,0,4,0,0,0,0,12,8,0,0,0,0,0
